locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location,,,,,
437190,Natan's Catering,Truck,0,,Assessors Block 8722/Lot003,8722003,8722,3,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6014776.59744,2107430.47828,37.7674330173,-122.3921491142,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM,Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM,Su/Su/Su/Su/Su:9AM-10AM,Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7674330311242, -122.392149114162)",,
437191,Natan's Catering,Truck,5340000,EVANS AVE: NAPOLEON ST \ TOLAND ST to MARIN ST (2000 - 2099),2045 EVANS AVE,4343002,4343,2,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6013220.459,2100301.58,37.7477720916,-122.397031719,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:10AM-11AM,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7477721054195, -122.397031718968)",,,,,
437192,Natan's Catering,Truck,6759001,HARRISON ST: 26TH ST to KAMILLE CT (3000 - 3048),3040 HARRISON ST,6573001,6573,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6008722.691,2100785.001,37.7488480566,-122.4126189947,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:11AM-12PM,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7488480703773, -122.412618994645)",,,,,
437193,Natan's Catering,Truck,0,,Assessors Block 5598/Lot031,5598031,5598,31,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6010555.36796,2097635.85527,37.7403038728,-122.4060597435,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM,Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM,Su/Su/Su/Su/Su:9AM-10AM,Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7403038866252, -122.406059743484)",,
437194,Natan's Catering,Truck,0,,Assessors Block 7295/Lot022,7295022,7295,22,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,5989624.724,2094318.981,37.7300036832,-122.4781863254,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM,Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM,Su/Su/Su/Su/Su:9AM-10AM,Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7300036970184, -122.478186325404)",,
437195,Natan's Catering,Truck,1232000,23RD ST: END to ILLINOIS ST (100 - 699),435 23RD ST,4232010,4232,10,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016887.317,2102871.037,37.7550307268,-122.3845307342,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:12PM-1PM,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7550307405717, -122.384530734213)",,,,,
437196,Natan's Catering,Truck,0,,Assessors Block 4172/Lot010,4172010,4172,10,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6015746.892,2103656.591,37.7571245604,-122.3885295153,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM,Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM,Su/Su/Su/Su/Su:9AM-10AM,Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.757124574189, -122.388529515247)",,
437197,Natan's Catering,Truck,0,,Assessors Block 4058/Lot010,4058010,4058,10,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6015895.442,2105131.652,37.7611829945,-122.3881187041,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM,Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM,Su/Su/Su/Su/Su:9AM-10AM,Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7611830083041, -122.388118704067)",,
437198,Natan's Catering,Truck,3376000,BURKE AVE: END to 03RD ST (1500 - 1599),1580 BURKE AVE,5203066,5203,66,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016479.94361,2099135.86798,37.7447521916,-122.3856792487,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Fr:8AM-9AM,Sa:9AM-10AM,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7447522054313, -122.385679248712)",,,,
437199,Natan's Catering,Truck,698000,16TH ST: 04TH ST to OWENS ST (600 - 699),600 16TH ST,8718001,8718,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6015149.302,2107435.061,37.7674662871,-122.3908602894,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:9AM-10AM,Mo-Fr:12PM-1PM,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7674663009377, -122.390860289421)",,,,
437200,Natan's Catering,Truck,381000,07TH ST: HOOPER ST to IRWIN ST (1100 - 1199),1140 07TH ST,3820002,3820,2,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6012967.316,2107764.443,37.7682493868,-122.3984306502,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa:9AM-10AM,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7682494005857, -122.398430650204)",,,,,
437201,Natan's Catering,Truck,0,,Assessors Block 4227/Lot012,4227012,4227,12,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6014953.292,2102226.967,37.7531551067,-122.3911741845,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM,Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM,Su/Su/Su/Su/Su:9AM-10AM,Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7531551205222, -122.391174184446)",,
437202,Natan's Catering,Truck,10658000,POTRERO AVE: 10TH ST \ BRANNAN ST \ DIVISION ST to ALAMEDA ST (1 - 99),66 POTRERO AVE,3906004,3906,4,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6010061.632,2107930.589,37.768543289,-122.4084928924,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa:10AM-11AM,Mo-Fr:4PM-5PM,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7685433028161, -122.408492892429)",,,,
437203,Natan's Catering,Truck,0,,Assessors Block 5369/Lot003,5369003,5369,3,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6011013.658,2096830.358,37.7381177716,-122.4044184672,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM,Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM,Su/Su/Su/Su/Su:9AM-10AM,Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7381177854132, -122.404418467202)",,
437204,Natan's Catering,Truck,797000,17TH ST: MISSION ST to HOFF ST (3300 - 3343),3335 17TH ST,3576086,3576,86,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6006602.872,2106039.462,37.7631563932,-122.4203222315,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa:10AM-11AM,Mo/Tu/We/Th/Fr:1PM-2PM,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7631564070236, -122.420322231517)",,,,
437205,Natan's Catering,Truck,0,,Assessors Block 4046/Lot001,4046001,4046,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016675.163,2105416.559,37.762008458,-122.3854418116,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM,Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM,Su/Su/Su/Su/Su:9AM-10AM,Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7620084718284, -122.385441811558)",,
437206,Natan's Catering,Truck,0,,Assessors Block 5216/Lot030,5216030,5216,30,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6015212.23,2099399.714,37.7454064294,-122.3900812248,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM,Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM,Su/Su/Su/Su/Su:9AM-10AM,Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7454064432308, -122.390081224837)",,
437207,Natan's Catering,Truck,0,,Assessors Block 4103/Lot023A,4103023A,4103,023A,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6014314.885,2104114.856,37.7583033956,-122.3935140548,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM,Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM,Su/Su/Su/Su/Su:9AM-10AM,Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7583034094443, -122.393514054807)",,
437208,Natan's Catering,Truck,2468000,CESAR CHAVEZ ST: 03RD ST to TENNESSEE ST (1000 - 1099),Assessors Block 4315/Lot03008,431503008,4315,3008,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,,,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM,Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM,Su/Su/Su/Su/Su:9AM-10AM,Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,,,
437209,Natan's Catering,Truck,8954000,MENDELL ST: CARGO WAY to NEWHALL ST (1 - 199),151 MENDELL ST,4570019,4570,19,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6017284.43664,2098416.06259,37.7428202347,-122.3828473555,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Fr:8AM-9AM,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7428202484928, -122.382847355508)",,,,,
437210,Natan's Catering,Truck,7166000,ILLINOIS ST: MARIPOSA ST \ TERRY A FRANCOIS BLVD to 18TH ST (600 - 699),Assessors Block 3941/Lot001,3941001,3941,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016208.818,2106421.254,37.7647413227,-122.3871248122,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM,Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM,Su/Su/Su/Su/Su:9AM-10AM,Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7647413364705, -122.387124812169)",,
437211,Natan's Catering,Truck,9212000,MISSOURI ST: 20TH ST to SIERRA ST (500 - 630),555 MISSOURI ST,4101031,4101,31,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6013632.016,2104493.013,37.7593037664,-122.3959022312,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Fr:9AM-10AM/12PM-1PM,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7593037801842, -122.395902231226)",,,,,
437212,Natan's Catering,Truck,7174000,ILLINOIS ST: 25TH ST to END (1500 - 1599),Assessors Block 4296/Lot010,4296010,4296,10,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016154.266,2101929.534,37.7524049925,-122.3870001963,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM,Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM,Su/Su/Su/Su/Su:9AM-10AM,Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7524050062858, -122.387000196288)",,
437213,Natan's Catering,Truck,1400001,25TH ST: MARYLAND ST to MICHIGAN ST (400 - 699),Assessors Block 4241/Lot002,4241002,4241,2,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016991.219,2102253.193,37.7533400012,-122.3841283842,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM,Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM,Su/Su/Su/Su/Su:9AM-10AM,Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7533400149877, -122.384128384227)",,
437214,Natan's Catering,Truck,6721000,HARRISON ST: MERLIN ST to OAK GROVE ST (924 - 950),950 HARRISON ST,3753241,3753,241,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6011666.48064,2111483.53704,37.7783886158,-122.4031917832,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Fr:12PM-1PM,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,"(37.7783886295689, -122.403191783219)",,,,,
